## https://github.com/libvips/vipsdisp#shortcuts
vipsdisp: Scroll around                             | Lt/Dn/Up/Rt
vipsdisp: Move by a screen size                     | S-Lt/Dn/Up/Rt
vipsdisp: Move to image edges                       | C-Lt/Dn/Up/Rt
vipsdisp: Pick a particular zoom out                | C-$
vipsdisp: Best fit                                  | 0
vipsdisp: Toggle debug rendering mode               | d
vipsdisp: Zoom in/out                               | i/o / +/-
vipsdisp: Prev/Next page                            | C-</>
vipsdisp: Prev/Next image                           | A-Lt/Rt
vipsdisp: Zoom                                      | MW
vipsdisp: Pan                                       | MW-S/C- / L_drag
vipsdisp: Replace image                             | C-d
vipsdisp: Save image                                | C-s
vipsdisp: New viewer                                | C-n
vipsdisp: Duplicate view                            | C-d
vipsdisp: Toggle properties                         | A-Etr
vipsdisp: Vipsdisp: Copy paste of filenames         | C-c
vipsdisp: Vipsdisp: Lists of filenames and textures | C-v
vipsdisp: Vipsdisp: Fullscreen                      | F11
